Age,Income,Home,Emp_length,Intent,Amount,Rate,High_Interest_Flag,Status,Percent_income,Cred_length,Default
26,62050,RENT,6,MEDICAL,30000,17.99,1,1,0.48348106365834004,2,0
24,12000,OWN,4,VENTURE,2500,12.69,1,1,0.20833333333333334,3,0
26,300000,MORTGAGE,10,VENTURE,20000,7.88,0,0,0.06666666666666667,4,0
23,300000,OWN,1,EDUCATION,24250,19.41,1,0,0.08083333333333333,2,1
26,300000,OWN,9,HOME IMPROVEMENT,10000,10.38,0,0,0.03333333333333333,4,0
26,300000,MORTGAGE,0,EDUCATION,25000,15.33,1,0,0.08333333333333333,3,0
25,300000,MORTGAGE,9,HOME IMPROVEMENT,18000,16.45,1,0,0.06,3,0
26,80690,RENT,8,PERSONAL,30000,7.49,0,1,0.37179328293468833,3,0
22,66300,RENT,4,MEDICAL,30000,12.69,1,1,0.45248868778280543,3,0
26,89028,RENT,0,DEBT CONSOLIDATION,30000,6.62,0,1,0.33697263782180886,3,0
24,78000,RENT,4,DEBT CONSOLIDATION,30000,10.99,0,1,0.38461538461538464,4,1
23,78000,RENT,7,DEBT CONSOLIDATION,30000,18.62,1,1,0.38461538461538464,3,1
23,92004,RENT,6,PERSONAL,30000,15.23,1,1,0.32607277944437196,3,1
23,97000,RENT,7,VENTURE,30000,10.65,0,1,0.30927835051546393,2,0
25,120000,RENT,9,EDUCATION,30000,7.9,0,0,0.25,4,0
26,280000,RENT,4,PERSONAL,10000,15.96,1,0,0.03571428571428571,3,1
26,277104,RENT,0,VENTURE,20000,11.48,0,0,0.07217506784456378,3,0
23,277000,OWN,3,PERSONAL,35000,10.99,0,0,0.1263537906137184,4,0
25,128000,RENT,9,PERSONAL,30000,7.29,0,0,0.234375,4,0
24,12000,OWN,2,VENTURE,1750,10.99,0,0,0.14583333333333334,3,1
21,131000,RENT,0,VENTURE,30000,5.99,0,0,0.22900763358778625,4,0
22,275000,OWN,6,VENTURE,12000,11.58,0,0,0.04363636363636364,2,0
26,263000,MORTGAGE,0,EDUCATION,10000,10.99,0,1,0.03802281368821293,4,0
25,221850,MORTGAGE,9,MEDICAL,25000,15.7,1,1,0.1126887536623845,2,0
22,70000,RENT,6,EDUCATION,29100,15.99,1,1,0.4157142857142857,3,0
22,12000,MORTGAGE,7,EDUCATION,1500,14.84,1,0,0.125,3,1
26,260000,OWN,10,HOME IMPROVEMENT,28000,10.99,0,0,0.1076923076923077,3,0
25,259000,MORTGAGE,9,HOME IMPROVEMENT,20000,14.42,1,0,0.07722007722007722,2,1
24,255000,MORTGAGE,9,EDUCATION,9600,6.99,0,0,0.03764705882352941,2,0
25,250000,RENT,2,MEDICAL,25000,13.49,1,0,0.1,4,0
25,12000,OWN,0,MEDICAL,3000,10.99,0,1,0.25,3,0
22,56950,RENT,6,MEDICAL,28000,10.99,0,1,0.4916593503072871,2,0
21,12000,OWN,6,EDUCATION,3000,13.61,1,1,0.25,3,1
23,65000,RENT,2,EDUCATION,28000,7.9,0,1,0.4307692307692308,2,0
26,85000,RENT,2,VENTURE,28000,7.49,0,1,0.32941176470588235,3,0
26,12000,OWN,2,EDUCATION,6100,7.51,0,1,0.5083333333333333,3,0
22,88000,RENT,6,VENTURE,28000,9.91,0,1,0.3181818181818182,3,0
21,12000,OWN,0,PERSONAL,4200,13.48,1,1,0.35,4,1
22,12000,OWN,6,DEBT CONSOLIDATION,4750,7.14,0,1,0.3958333333333333,2,0
24,83004,RENT,0,VENTURE,28000,15.99,1,1,0.33733314057153874,4,1
24,250000,RENT,2,EDUCATION,18000,12.98,1,0,0.072,3,1
25,100000,RENT,5,DEBT CONSOLIDATION,28000,12.69,1,0,0.28,3,0
26,110000,RENT,10,EDUCATION,28000,8.9,0,0,0.2545454545454545,2,0
26,12000,OWN,0,DEBT CONSOLIDATION,2700,10.99,0,1,0.225,4,0
22,108000,RENT,6,EDUCATION,28000,10.99,0,1,0.25925925925925924,4,0
23,151200,RENT,7,DEBT CONSOLIDATION,28000,11.11,0,0,0.18518518518518517,2,0
24,69000,RENT,2,HOME IMPROVEMENT,27600,10.99,0,1,0.4,2,0
21,12000,MORTGAGE,5,DEBT CONSOLIDATION,3250,15.68,1,1,0.2708333333333333,3,1
22,70000,RENT,4,EDUCATION,27500,13.06,1,1,0.39285714285714285,3,1
22,240000,OWN,6,PERSONAL,25000,10.99,0,0,0.10416666666666667,2,0
26,73200,RENT,5,VENTURE,27050,15.62,1,1,0.36953551912568305,2,1
24,83000,RENT,5,PERSONAL,27000,13.49,1,1,0.3253012048192771,2,1
24,73399,RENT,0,VENTURE,27000,10.99,0,1,0.36785242305753485,3,0
23,62500,RENT,7,MEDICAL,26000,11.71,0,1,0.416,2,0
23,120000,RENT,1,EDUCATION,25600,12.69,1,0,0.21333333333333335,3,0
24,12360,OWN,2,MEDICAL,1600,13.57,1,0,0.12944983818770225,3,0
22,60000,RENT,0,VENTURE,25475,10.99,0,1,0.4245833333333333,3,0
25,234000,MORTGAGE,3,MEDICAL,20000,14.27,1,0,0.08547008547008547,4,1
24,234000,OWN,8,HOME IMPROVEMENT,20000,8.88,0,0,0.08547008547008547,4,0
26,234000,MORTGAGE,10,HOME IMPROVEMENT,21600,12.18,1,0,0.09230769230769231,3,0
25,221004,MORTGAGE,6,DEBT CONSOLIDATION,11900,14.42,1,1,0.053845179272773346,3,1
26,232500,MORTGAGE,0,MEDICAL,25000,14.17,1,0,0.10752688172043011,2,1
25,230000,MORTGAGE,5,MEDICAL,35000,13.99,1,0,0.15217391304347827,4,0
23,83000,RENT,7,EDUCATION,25300,10.99,0,1,0.30481927710843376,3,0
22,12600,MORTGAGE,4,PERSONAL,2000,5.42,0,1,0.15873015873015872,4,0
25,12600,OWN,3,PERSONAL,1750,13.61,1,0,0.1388888888888889,3,0
21,42500,RENT,3,EDUCATION,25000,12.73,1,1,0.5882352941176471,3,1
24,41000,RENT,2,HOME IMPROVEMENT,25000,10.99,0,1,0.6097560975609756,3,0
25,12816,OWN,0,DEBT CONSOLIDATION,3000,12.87,1,1,0.2340823970037453,4,1
24,12960,MORTGAGE,1,HOME IMPROVEMENT,3650,9.91,0,1,0.2816358024691358,3,0
26,226000,MORTGAGE,4,HOME IMPROVEMENT,20000,11.49,0,0,0.08849557522123894,4,0
25,225000,MORTGAGE,0,HOME IMPROVEMENT,30000,19.91,1,0,0.13333333333333333,2,1
26,213000,MORTGAGE,6,EDUCATION,35000,10.65,0,1,0.1643192488262911,2,0
24,225000,RENT,0,MEDICAL,6000,10.99,0,0,0.02666666666666667,4,0
24,12960,MORTGAGE,0,DEBT CONSOLIDATION,4500,11.83,0,1,0.3472222222222222,4,0
23,12996,OWN,0,DEBT CONSOLIDATION,2400,13.49,1,1,0.18467220683287167,2,1
22,42000,RENT,6,MEDICAL,25000,14.59,1,1,0.5952380952380952,2,1
26,48000,RENT,2,EDUCATION,25000,9.64,0,1,0.5208333333333334,4,0
25,12996,OWN,1,MEDICAL,3600,14.59,1,1,0.2770083102493075,3,0
22,12996,OWN,1,EDUCATION,4750,10.99,0,1,0.3654970760233918,3,0
25,42360,RENT,1,EDUCATION,25000,16.35,1,1,0.5901794145420207,3,1
21,49000,RENT,4,EDUCATION,25000,10.99,0,1,0.5102040816326531,2,0
25,225000,MORTGAGE,0,VENTURE,25000,18.67,1,0,0.1111111111111111,2,0
26,225000,RENT,1,EDUCATION,3000,9.32,0,0,0.013333333333333334,4,0
23,225000,RENT,8,DEBT CONSOLIDATION,7500,8.63,0,0,0.03333333333333333,2,0
26,225000,MORTGAGE,2,VENTURE,25000,10.08,0,0,0.1111111111111111,2,0
22,49464,RENT,5,PERSONAL,25000,11.83,0,1,0.5054180818372959,3,0
23,50000,RENT,1,DEBT CONSOLIDATION,25000,7.9,0,1,0.5,3,0
25,50000,RENT,4,HOME IMPROVEMENT,25000,5.99,0,1,0.5,2,0
24,44000,RENT,2,DEBT CONSOLIDATION,25000,15.33,1,1,0.5681818181818182,2,0
23,50000,RENT,1,VENTURE,25000,11.83,0,1,0.5,4,0
22,50004,RENT,0,VENTURE,25000,10.36,0,1,0.49996000319974404,2,0
22,50004,RENT,3,VENTURE,25000,12.23,1,1,0.49996000319974404,3,0
22,52000,RENT,2,EDUCATION,25000,11.11,0,1,0.4807692307692308,4,0
23,13200,OWN,3,DEBT CONSOLIDATION,4950,7.9,0,1,0.375,4,0
24,220000,MORTGAGE,1,EDUCATION,25000,11.58,0,0,0.11363636363636363,2,0
23,216000,MORTGAGE,5,DEBT CONSOLIDATION,21000,8.9,0,0,0.09722222222222222,3,0
25,216000,MORTGAGE,2,EDUCATION,25000,16.07,1,0,0.11574074074074074,3,0
26,216000,MORTGAGE,10,EDUCATION,20000,14.22,1,0,0.09259259259259259,2,1
23,215000,MORTGAGE,7,MEDICAL,35000,14.79,1,0,0.16279069767441862,3,1
26,215000,MORTGAGE,11,EDUCATION,12000,7.88,0,0,0.05581395348837209,2,0
23,52000,RENT,1,PERSONAL,25000,13.22,1,1,0.4807692307692308,2,0
26,46000,RENT,2,DEBT CONSOLIDATION,25000,11.86,0,1,0.5434782608695652,4,0
22,53000,RENT,5,EDUCATION,25000,13.43,1,1,0.4716981132075472,4,1
26,47000,RENT,0,HOME IMPROVEMENT,25000,15.28,1,1,0.5319148936170213,2,1
23,47000,RENT,1,VENTURE,25000,17.93,1,1,0.5319148936170213,2,0
23,13200,MORTGAGE,2,EDUCATION,1400,9.25,0,0,0.10606060606060606,4,0
21,13200,OWN,0,VENTURE,4500,12.98,1,1,0.3409090909090909,4,0
22,210000,MORTGAGE,6,VENTURE,16000,10.62,0,0,0.0761904761904762,4,0
26,210000,OWN,10,PERSONAL,22000,11.83,0,0,0.10476190476190476,4,0
26,48000,RENT,5,VENTURE,25000,18.43,1,1,0.5208333333333334,2,0
22,54996,RENT,6,EDUCATION,25000,10.99,0,1,0.4545785148010764,4,0
24,55000,RENT,4,HOME IMPROVEMENT,25000,10.99,0,1,0.45454545454545453,4,1
23,55000,RENT,4,EDUCATION,25000,11.36,0,1,0.45454545454545453,3,0
23,55000,RENT,4,EDUCATION,25000,15.65,1,1,0.45454545454545453,3,1
24,55164,RENT,8,PERSONAL,25000,13.22,1,1,0.4531941121020956,4,1
26,56000,RENT,4,DEBT CONSOLIDATION,25000,12.87,1,1,0.44642857142857145,2,0
24,203500,OWN,8,MEDICAL,20000,13.04,1,0,0.09828009828009827,3,0
23,190000,MORTGAGE,5,EDUCATION,22000,17.58,1,1,0.11578947368421053,3,1
23,13920,OWN,2,PERSONAL,7750,17.04,1,1,0.5567528735632183,4,0
24,60000,RENT,0,PERSONAL,25000,10.99,0,1,0.4166666666666667,3,0
24,60000,RENT,2,PERSONAL,25000,11.11,0,1,0.4166666666666667,3,0
26,54000,RENT,7,DEBT CONSOLIDATION,25000,14.83,1,1,0.46296296296296297,2,1
23,14000,OWN,2,DEBT CONSOLIDATION,4000,10.99,0,1,0.2857142857142857,3,0
24,200000,RENT,8,MEDICAL,12000,12.69,1,0,0.06,2,0
24,200000,MORTGAGE,8,HOME IMPROVEMENT,12000,13.49,1,0,0.06,2,0
21,200000,MORTGAGE,5,EDUCATION,16000,14.65,1,0,0.08,4,0
25,54000,RENT,3,HOME IMPROVEMENT,25000,16.82,1,1,0.46296296296296297,4,0
23,60000,RENT,3,PERSONAL,25000,12.73,1,1,0.4166666666666667,3,0
23,60000,RENT,7,PERSONAL,25000,10.25,0,1,0.4166666666666667,4,0
21,60000,RENT,6,EDUCATION,25000,10.99,0,1,0.4166666666666667,4,0
25,61959,RENT,9,MEDICAL,25000,12.73,1,1,0.4034926322245356,2,0
22,56400,RENT,2,HOME IMPROVEMENT,25000,14.96,1,1,0.4432624113475177,3,1
23,200000,MORTGAGE,7,EDUCATION,28000,10.99,0,0,0.14,2,0
21,200000,MORTGAGE,2,DEBT CONSOLIDATION,25000,13.99,1,0,0.125,2,0
24,200000,MORTGAGE,3,VENTURE,24000,7.49,0,0,0.12,4,0
26,200000,MORTGAGE,4,EDUCATION,15000,14.79,1,0,0.075,3,0
25,200000,MORTGAGE,2,DEBT CONSOLIDATION,15500,11.99,0,0,0.0775,2,0
24,200000,RENT,8,EDUCATION,10000,8.49,0,0,0.05,4,0
24,66000,RENT,3,EDUCATION,25000,9.91,0,1,0.3787878787878788,2,0
22,66000,RENT,6,EDUCATION,25000,13.06,1,1,0.3787878787878788,3,1
22,200000,MORTGAGE,6,DEBT CONSOLIDATION,9000,6.17,0,0,0.045,4,0
25,200000,RENT,5,EDUCATION,18000,16.32,1,0,0.09,3,0
25,200000,MORTGAGE,2,VENTURE,12000,10.38,0,0,0.06,2,0
25,200000,MORTGAGE,9,PERSONAL,23050,14.35,1,0,0.11525,3,0
24,200000,MORTGAGE,8,DEBT CONSOLIDATION,20000,10.99,0,0,0.1,3,0
24,60000,RENT,2,DEBT CONSOLIDATION,25000,10.99,0,1,0.4166666666666667,2,1
21,14400,OWN,0,HOME IMPROVEMENT,3000,10.99,0,1,0.20833333333333334,4,0
26,66996,RENT,10,PERSONAL,25000,15.21,1,1,0.37315660636455905,2,1
23,67000,RENT,3,EDUCATION,25000,7.9,0,1,0.373134328358209,4,0
24,67000,RENT,2,VENTURE,25000,10.99,0,1,0.373134328358209,3,0
24,68000,RENT,5,PERSONAL,25000,14.09,1,1,0.36764705882352944,3,1
25,69000,RENT,9,PERSONAL,25000,17.49,1,1,0.36231884057971014,2,0
25,200000,MORTGAGE,0,EDUCATION,12000,11.48,0,0,0.06,3,0
26,188000,MORTGAGE,10,VENTURE,20000,17.74,1,1,0.10638297872340426,2,0
26,200000,MORTGAGE,4,PERSONAL,3000,13.92,1,0,0.015,3,0
25,69996,RENT,9,EDUCATION,25000,15.21,1,1,0.35716326647236984,3,0
22,14400,OWN,2,MEDICAL,4000,10.99,0,1,0.2777777777777778,3,0
24,70000,RENT,3,EDUCATION,25000,11.86,0,1,0.35714285714285715,4,0
24,14400,OWN,5,PERSONAL,6000,7.49,0,1,0.4166666666666667,3,0
24,56100,RENT,7,MEDICAL,25000,16.49,1,1,0.44563279857397503,4,0
25,66000,RENT,9,VENTURE,25000,15.33,1,1,0.3787878787878788,2,1
26,66000,RENT,3,HOME IMPROVEMENT,25000,11.58,0,1,0.3787878787878788,4,0
25,14400,OWN,7,EDUCATION,5375,5.79,0,1,0.3732638888888889,2,0
25,72612,RENT,9,MEDICAL,25000,13.11,1,1,0.3442957086982868,2,0
23,74000,RENT,3,MEDICAL,25000,10.36,0,1,0.33783783783783783,3,0
25,75000,RENT,9,DEBT CONSOLIDATION,25000,10.36,0,1,0.3333333333333333,2,0
24,192000,RENT,0,MEDICAL,22000,10.99,0,0,0.11458333333333333,2,1
21,192000,MORTGAGE,4,VENTURE,20000,6.54,0,0,0.10416666666666667,4,0
25,191000,MORTGAGE,1,MEDICAL,10000,12.53,1,0,0.05235602094240838,4,0
26,190300,MORTGAGE,5,PERSONAL,15000,10.99,0,0,0.0788229111928534,3,0
22,190000,MORTGAGE,3,VENTURE,10000,10.99,0,0,0.05263157894736842,3,0
24,75000,RENT,4,EDUCATION,25000,10.25,0,1,0.3333333333333333,4,0
22,71000,RENT,1,EDUCATION,25000,15.95,1,1,0.352112676056338,4,1
26,190000,MORTGAGE,3,VENTURE,20000,12.18,1,0,0.10526315789473684,4,0
23,189996,OWN,0,PERSONAL,24000,11.83,0,0,0.12631844880944862,3,0
23,78000,RENT,7,DEBT CONSOLIDATION,25000,10.99,0,1,0.32051282051282054,2,1
23,78000,RENT,1,VENTURE,25000,10.62,0,1,0.32051282051282054,3,0
23,78504,RENT,7,VENTURE,25000,10.74,0,1,0.3184551105676144,3,0
25,186000,OWN,9,VENTURE,10000,10.25,0,0,0.053763440860215055,4,0
24,185000,MORTGAGE,4,EDUCATION,35000,12.42,1,0,0.1891891891891892,2,0
25,185000,RENT,6,VENTURE,15000,15.27,1,0,0.08108108108108109,2,0
24,62050,RENT,8,MEDICAL,25000,15.33,1,1,0.40290088638195004,2,1
23,79416,RENT,7,VENTURE,25000,15.21,1,1,0.3147980255867835,2,1
21,14400,OWN,4,VENTURE,6250,14.72,1,1,0.4340277777777778,2,0
24,79631,RENT,8,PERSONAL,25000,15.7,1,1,0.3139480855445744,2,1
24,79632,RENT,0,EDUCATION,25000,13.35,1,1,0.3139441430580671,4,0
21,14400,MORTGAGE,0,MEDICAL,1500,10.99,0,0,0.10416666666666667,4,0
24,80000,RENT,6,EDUCATION,25000,6.62,0,1,0.3125,2,0
26,80000,RENT,5,DEBT CONSOLIDATION,25000,13.61,1,1,0.3125,4,0
22,185000,RENT,4,MEDICAL,25000,11.36,0,0,0.13513513513513514,2,0
26,185000,OWN,10,PERSONAL,5000,7.68,0,0,0.02702702702702703,2,0
24,184992,RENT,7,HOME IMPROVEMENT,22000,14.46,1,0,0.11892406158104134,4,1
23,184000,OWN,5,EDUCATION,2500,11.83,0,0,0.01358695652173913,2,0
24,172000,MORTGAGE,6,DEBT CONSOLIDATION,20000,13.47,1,1,0.11627906976744186,4,1
24,183000,MORTGAGE,2,MEDICAL,20000,11.49,0,0,0.1092896174863388,3,0
22,183000,MORTGAGE,3,EDUCATION,1000,10.99,0,0,0.00546448087431694,2,0
25,182952,MORTGAGE,9,PERSONAL,15000,6.03,0,0,0.08198871835235472,3,0
23,74004,RENT,7,DEBT CONSOLIDATION,25000,16.35,1,1,0.33781957732014484,4,0
26,74004,RENT,10,DEBT CONSOLIDATION,25000,10.99,0,1,0.33781957732014484,4,1
25,81000,RENT,5,DEBT CONSOLIDATION,25000,7.29,0,1,0.30864197530864196,3,0
23,81600,RENT,1,MEDICAL,25000,11.36,0,1,0.30637254901960786,3,0
24,82000,RENT,8,VENTURE,25000,10.25,0,0,0.3048780487804878,2,0
24,83000,RENT,5,EDUCATION,25000,11.12,0,0,0.30120481927710846,3,0
24,83000,RENT,5,PERSONAL,25000,12.92,1,0,0.30120481927710846,3,1
24,180000,RENT,8,EDUCATION,18000,18.64,1,0,0.1,4,1
23,180000,MORTGAGE,8,PERSONAL,28000,7.51,0,0,0.15555555555555556,3,0
23,14400,OWN,2,HOME IMPROVEMENT,4000,16.7,1,1,0.2777777777777778,2,0
22,14400,OWN,0,PERSONAL,2100,11.14,0,0,0.14583333333333334,4,0
22,84500,RENT,6,PERSONAL,25000,18.3,1,0,0.2958579881656805,4,0
24,85000,RENT,5,MEDICAL,25000,10.62,0,0,0.29411764705882354,4,0
24,180000,MORTGAGE,7,VENTURE,14000,11.99,0,0,0.07777777777777778,2,0
26,180000,MORTGAGE,2,VENTURE,12000,9.63,0,0,0.06666666666666667,4,0
25,142800,MORTGAGE,9,MEDICAL,10000,18.25,1,1,0.0700280112044818,4,0
23,14664,MORTGAGE,0,DEBT CONSOLIDATION,6000,10.99,0,1,0.40916530278232405,4,0
24,87000,RENT,8,HOME IMPROVEMENT,25000,14.84,1,0,0.28735632183908044,3,0
24,75000,RENT,0,VENTURE,25000,14.7,1,1,0.3333333333333333,3,1
23,76000,RENT,7,DEBT CONSOLIDATION,25000,16.02,1,1,0.32894736842105265,4,0
23,66215,RENT,1,MEDICAL,25000,15.37,1,1,0.37755795514611495,2,1
25,90000,RENT,9,MEDICAL,25000,10.99,0,0,0.2777777777777778,4,0
21,15000,OWN,0,HOME IMPROVEMENT,6200,7.9,0,1,0.41333333333333333,2,0
26,180000,OWN,2,PERSONAL,25000,10.99,0,0,0.1388888888888889,4,0
24,180000,OWN,8,EDUCATION,21000,11.48,0,0,0.11666666666666667,3,0
25,180000,OWN,9,MEDICAL,20000,14.26,1,0,0.1111111111111111,4,1
26,180000,OWN,0,HOME IMPROVEMENT,10000,8.0,0,0,0.05555555555555555,4,0
25,180000,MORTGAGE,3,VENTURE,9950,11.26,0,0,0.05527777777777778,2,0
23,15000,OWN,7,MEDICAL,4475,10.99,0,1,0.29833333333333334,4,0
23,78000,RENT,2,VENTURE,25000,16.32,1,1,0.32051282051282054,3,1
25,66300,RENT,3,MEDICAL,25000,17.93,1,1,0.3770739064856712,4,1
23,90000,RENT,0,DEBT CONSOLIDATION,25000,11.36,0,0,0.2777777777777778,3,0
24,79000,RENT,9,DEBT CONSOLIDATION,25000,14.96,1,1,0.31645569620253167,4,1
24,91800,RENT,4,PERSONAL,25000,13.43,1,0,0.27233115468409586,3,1
25,92000,RENT,6,HOME IMPROVEMENT,25000,12.69,1,0,0.2717391304347826,3,0
24,92000,RENT,1,VENTURE,25000,12.73,1,0,0.2717391304347826,4,1
23,93600,RENT,3,VENTURE,25000,15.21,1,0,0.2670940170940171,4,0
23,15000,MORTGAGE,1,MEDICAL,1750,12.68,1,0,0.11666666666666667,3,1
23,70550,RENT,3,MEDICAL,25000,19.04,1,1,0.3543586109142452,4,1
25,83800,RENT,2,DEBT CONSOLIDATION,25000,15.95,1,1,0.29832935560859186,3,1
26,175000,MORTGAGE,3,VENTURE,2600,8.9,0,0,0.014857142857142857,4,0
25,175000,MORTGAGE,10,HOME IMPROVEMENT,8000,7.9,0,0,0.045714285714285714,2,0
22,175000,MORTGAGE,6,EDUCATION,18000,10.99,0,0,0.10285714285714286,2,0
23,175000,MORTGAGE,8,PERSONAL,21000,11.99,0,0,0.12,3,0
23,15000,OWN,4,DEBT CONSOLIDATION,4000,13.98,1,1,0.26666666666666666,4,0
23,15000,OWN,4,VENTURE,4600,10.99,0,1,0.30666666666666664,2,0
22,88000,RENT,6,DEBT CONSOLIDATION,25000,15.58,1,1,0.2840909090909091,2,1
25,74800,RENT,2,MEDICAL,25000,10.99,0,1,0.3342245989304813,2,0
25,88000,RENT,0,VENTURE,25000,14.96,1,1,0.2840909090909091,4,0
25,15000,OWN,2,HOME IMPROVEMENT,1750,15.31,1,0,0.11666666666666667,4,1
26,88000,RENT,2,VENTURE,25000,15.65,1,1,0.2840909090909091,3,0
25,100000,RENT,1,VENTURE,25000,9.33,0,0,0.25,4,0
23,15000,MORTGAGE,0,PERSONAL,3600,13.47,1,1,0.24,4,0
24,102400,RENT,8,PERSONAL,25000,10.36,0,0,0.244140625,3,0
24,92000,RENT,1,HOME IMPROVEMENT,25000,16.77,1,1,0.2717391304347826,4,1
23,93000,RENT,0,DEBT CONSOLIDATION,25000,14.59,1,1,0.26881720430107525,2,1
22,175000,RENT,6,VENTURE,3500,11.91,0,0,0.02,2,1
23,175000,MORTGAGE,3,EDUCATION,7200,8.38,0,0,0.04114285714285714,3,0
25,174708,RENT,9,VENTURE,9000,10.59,0,0,0.051514527096641255,3,0
25,174000,MORTGAGE,2,DEBT CONSOLIDATION,8800,14.27,1,0,0.05057471264367816,3,0
26,174000,RENT,8,DEBT CONSOLIDATION,12000,12.53,1,0,0.06896551724137931,4,0
25,162000,MORTGAGE,5,DEBT CONSOLIDATION,25000,16.0,1,1,0.15432098765432098,3,1
26,173467,MORTGAGE,10,VENTURE,10000,11.71,0,0,0.05764785232926147,4,0
21,15000,OWN,0,HOME IMPROVEMENT,3175,11.54,0,1,0.21166666666666667,3,1
25,96000,RENT,2,HOME IMPROVEMENT,25000,15.68,1,1,0.2604166666666667,4,1
21,15120,MORTGAGE,0,EDUCATION,1500,10.59,0,0,0.0992063492063492,2,0
24,97908,RENT,8,HOME IMPROVEMENT,25000,12.61,1,1,0.25534174939739346,2,1
26,110000,RENT,3,PERSONAL,25000,10.99,0,0,0.22727272727272727,2,1
23,15204,MORTGAGE,7,PERSONAL,2800,8.49,0,1,0.1841620626151013,3,0
25,159600,RENT,0,PERSONAL,30000,17.27,1,1,0.18796992481203006,4,1
24,171500,RENT,6,DEBT CONSOLIDATION,18000,8.9,0,0,0.10495626822157435,4,0
25,170004,MORTGAGE,3,MEDICAL,10000,11.11,0,0,0.05882214536128562,4,0
24,158004,RENT,0,HOME IMPROVEMENT,25000,14.59,1,1,0.15822384243436874,2,1
26,170000,RENT,0,VENTURE,13000,12.42,1,0,0.07647058823529412,3,0
24,83300,RENT,0,MEDICAL,25000,10.99,0,1,0.30012004801920766,2,0
24,110000,RENT,7,HOME IMPROVEMENT,25000,15.7,1,0,0.22727272727272727,2,1
22,15360,OWN,7,HOME IMPROVEMENT,2500,12.53,1,1,0.16276041666666666,3,0
25,134300,RENT,3,MEDICAL,5000,16.49,1,1,0.03723008190618019,2,0
